,agent0_xloc,agent0_yloc,agent0_zloc,agent0_xvel,agent0_yvel,agent0_zvel,agent0_orientation,ball2_xloc,ball2_yloc,ball2_zloc,ball2_xvel,ball2_yvel,ball2_zvel,ball3_xloc,ball3_yloc,ball3_zloc,ball3_xvel,ball3_yvel,ball3_zvel,ball4_xloc,ball4_yloc,ball4_zloc,ball4_xvel,ball4_yvel,ball4_zvel,ball5_xloc,ball5_yloc,ball5_zloc,ball5_xvel,ball5_yvel,ball5_zvel,target_xloc,target_yloc,target_zloc,collision_agent0/shell,collision_ball2/shell,collision_ball3/shell,collision_ball4/shell,collision_ball5/shell,collision_target/geom
102,2.852024563733626,-2.8173748218164927,0.55963279105803,0.14682569536617635,0.020316875800496022,-0.0017573778971009119,-1.4332974338805522,-6.840929717554831,7.699999999999999,0.55963279105803,-0.07496246984321718,-6.492769578369979e-38,0.0008883906140872659,5.981719678061403,-8.40209433987609,0.5602485267518718,0.06353437030657275,2.6384514593792625,0.014254135524843267,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-2.9670576720333828,-8.785168935552916,0.5596327910580299,-0.23681327108512162,0.042966743009872244,0.002850818916620981,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
103,3.0108034810116098,-2.791008055157188,0.55963279105803,0.2793436988218777,0.0641716667198812,-0.003405059432800732,-1.3508235142310123,-6.903110018079015,7.699999999999999,0.55963279105803,-0.14027080080291743,4.77870756015281e-38,0.0016624505782287357,7.05997873759985,-7.904642370845907,0.5605080500475679,2.090099164959356,-1.6124313972112898,0.02480007434288005,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.150284865444517,-8.75306855445122,0.55963279105803,-0.39257807238128983,0.06791640229570559,0.0047222673934903606,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
104,3.2761372931312587,-2.7244188542559225,0.5596327910583319,0.5536758948875647,0.13843331185492333,-0.0067728848209916,-1.3265069817770498,-6.987366356699663,7.699999999999999,0.55963279105803,-0.15200051959881494,7.98872786896225e-38,0.0018015117096837874,6.827697490151754,-9.069308688600103,0.5600838929224846,-2.542267895718173,-0.7030859412778208,0.0660536583572025,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.367605766390029,-8.714958288851575,0.5596327910580299,-0.31908457641957333,0.059778616077710574,0.0038473829537951205,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
105,3.5743504991747628,-2.6493304806220306,0.5596393682565366,0.6528940060132383,0.13397914069864103,-0.00819165271661826,-1.3681412954375518,-7.06151571033231,7.699999999999999,0.55963279105803,-0.10567126415726306,1.4835257470278407e-39,0.0012524572858963257,6.022454301962417,-8.195480220513375,0.5596985818621009,0.8086933248511824,2.5144091282726104,-0.0728473263124475,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.51028142617684,-8.688866703360263,0.55963279105803,-0.19881983723934146,0.03588771057551342,0.0023929941437479283,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
106,3.8882041577365993,-2.5993097695488836,0.5596328377833603,0.43971056374384965,0.04408994676698356,-0.005241575159898629,-1.4686847575979805,-7.097235576369572,7.699999999999999,0.55963279105803,-0.01897922822149032,3.827614693401057e-39,0.00022500735019490484,7.203170988766501,-8.058979403281326,0.5596890314300597,1.5243999514497497,-2.1545545243965565,-0.031592101245152965,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.6324473464606695,-8.668504168091438,0.55963279105803,-0.15371182920639698,0.024079309600876113,0.0018440426819983525,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
107,4.26117686728094,-2.5837919382290497,0.5596328014747657,0.6006644173049769,0.0042808646035967955,-0.007116299374053491,-1.5632949105106735,-7.080882206557849,7.699999999999999,0.55963279105803,0.07496218331166722,1.9187122072795393e-39,-0.0008883872181130849,6.618541284931529,-9.093396597319972,0.5601829329182211,-2.6322300277719286,0.1663960206049206,0.11189830318658683,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.6953470983519963,-8.658478274510609,0.5596327910580299,-0.1898701335860744,0.034284689941862144,0.002286844734881337,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
108,4.593006540158073,-2.5396316310127123,0.5598049426524958,0.6799341471792638,0.22391775277403259,-0.009356209227956195,-1.252375433953145,-7.01870205555819,7.699999999999999,0.55963279105803,0.14027054968854524,2.6583163691003913e-39,-0.0016624476020191995,6.126529484087935,-8.012443476167473,0.5603365182330351,1.6916940964406557,2.024182897476436,0.12244385971305957,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.7201758292410863,-8.653829450974367,0.5596327910580299,0.11868406411311354,-0.017579386039912315,-0.0014220464291817632,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
109,4.93202799190848,-2.3868995143782192,0.55963279105803,0.6285453945176463,0.3004051450714661,-0.008255324133408912,-1.124997558118057,-6.934445847979855,7.699999999999999,0.55963279105803,0.15200029952382532,3.1661003516787664e-38,-0.0018015091013546228,7.289972733948243,-8.250869889830206,0.5602485267518716,0.7365598030414292,-2.534352456990618,0.014254135524840984,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.6257230779828498,-8.66424718904414,0.55963279105803,0.2576718852630092,-0.023328529898277595,-0.0030661432481930715,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
110,5.019941993688309,-2.328212116316864,0.5596327910518034,0.02547104906752112,0.01016429467201097,-0.0003404852051270609,-1.1246646602613786,-6.860296609191838,7.699999999999999,0.55963279105803,0.10567107128498486,-3.869144247506367e-37,-0.0012524549999746112,6.41238983172498,-9.050838208387207,0.5605080500475532,-2.479575059734154,0.9056252277942569,0.024800074342570685,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.4851535346045805,-8.676720178192099,0.5596327910580299,0.19701411137832048,-0.017225041437049636,-0.002344455345470971,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
111,5.02862379660984,-2.3228711513141156,0.5596327912604784,-0.06240001921543357,-0.026001870452457415,0.0008014483579438468,-1.1761421414445687,-6.824576843803649,7.699999999999999,0.55963279105803,0.018979059189490076,-1.3733998450427586e-37,-0.00022500534682825743,6.281949311866596,-7.870419858645639,0.5600838929224692,2.2110532702123393,1.438297372137682,0.06605365835702731,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.186186424926924e-15,-3.402910861737623,-8.682827267922987,0.55963279105803,0.06107457100166799,-0.0034697176751524172,-0.0007250278043001164,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
