,agent0_xloc,agent0_yloc,agent0_zloc,agent0_xvel,agent0_yvel,agent0_zvel,agent0_orientation,ball2_xloc,ball2_yloc,ball2_zloc,ball2_xvel,ball2_yvel,ball2_zvel,ball3_xloc,ball3_yloc,ball3_zloc,ball3_xvel,ball3_yvel,ball3_zvel,ball4_xloc,ball4_yloc,ball4_zloc,ball4_xvel,ball4_yvel,ball4_zvel,ball5_xloc,ball5_yloc,ball5_zloc,ball5_xvel,ball5_yvel,ball5_zvel,target_xloc,target_yloc,target_zloc,collisions_agent0/shell,collisions_ball2/shell,collisions_ball3/shell,collisions_ball4/shell,collisions_ball5/shell,collisions_target/geom
0,10.511187409808967,-0.6994776821162021,0.5592802475115395,0.016612989718648996,0.001941552245932299,0.018378983357489075,-1.4389152053818552,-6.302632025154432,7.699999999999999,0.5592575917014103,-0.02641705813882096,2.2763641962631236e-42,0.019765905610769376,6.215777484643029,-9.056125281992127,0.5599870045042232,-0.7384718849526748,0.41845077187465557,0.021524689565181568,6.3,7.699999999999999,0.5592569514441266,0.0,0.0,0.019456579726964723,-6.311640141530137,-9.09887345270511,0.5592656940315206,-0.09806082192366553,0.0058804211666523805,0.020300505501701996,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
1,10.579279036007554,-0.6897977387337171,0.5596327910580301,0.16220750742646506,0.02640333563150469,-0.0019472185072350755,-1.410407786710655,-6.335843192692244,7.699999999999999,0.55963279105803,-0.09678500274368737,9.136822791791855e-40,0.0011470331706668069,5.873458628830485,-8.475411620831679,0.559901126420162,-0.1104032176361845,1.6378686961849993,-0.010748323107148,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.18770640394236e-15,-6.271844066944563,-9.101504913993505,0.55963279105803,0.09087981307788146,-0.00531880666826367,-0.0010768201598979881,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
2,10.617283578694382,-0.6840394333265244,0.559632791090657,-0.057096322099041294,0.00219962032844602,0.0006667338298973604,-1.5601279703483912,-6.412607333722989,7.699999999999999,0.55963279105803,-0.17641719647503004,-4.140066325389371e-37,0.0020908345366327974,6.485166514194906,-7.657193223673639,0.559997870666018,2.1990842424169843,0.6322549571015017,0.005526929112706372,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.18770640394236e-15,-6.287190417385095,-9.100214546905882,0.55963279105803,-0.07930008791945105,0.006324215773224063,0.0009480921102321322,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
3,10.693110391526972,-0.6824547312473934,0.5596327910580304,0.4349551890766959,0.01189080058092099,-0.005170296861085703,-1.5451008070579104,-6.527731088615966,7.699999999999999,0.55963279105803,-0.2291850581697909,9.062246057827446e-38,0.002716264549720066,7.576819756471117,-8.312893696430592,0.5599119447879906,0.6697216226122327,-2.692090472039124,0.06477469406277181,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.18770640394236e-15,-6.341907191838338,-9.094380326166588,0.5596327910580299,-0.05837884098614936,0.005860854065565609,0.0006948453727258744,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
4,10.792773348463093,-0.6756706769160277,0.5596327943348284,-0.03084262680811433,-0.003904224508635349,0.00036888683689538206,-1.4463488010044694,-6.658386723591933,7.699999999999999,0.55963279105803,-0.2299243919068365,1.0867927970226263e-36,0.002725067366366871,6.718038528538489,-9.45536076947018,0.5601573096806644,-3.05550327834175,-0.14504437281224244,0.04370038013441559,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.18770640394236e-15,-6.365617286528318,-9.091842538514983,0.5596327910580299,0.027158553878561035,-0.004632037444707968,-0.00032482309703566397,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
5,10.915367512141533,-0.6594489123081102,0.5596327919057462,0.31291452704942335,0.04544366416316656,-0.0037470507128206654,-1.4256068697090014,-6.773200116394989,7.699999999999999,0.55963279105803,-0.1739632350435781,5.533691313962507e-37,0.002061855409346677,5.810217887687036,-8.305062269275247,0.5601241874527821,0.871773013157326,2.9231189594447864,0.005228173565425924,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.18770640394236e-15,-6.330603673384889,-9.098026258205202,0.5596327910580299,0.09674651445653565,-0.01749088294496163,-0.001165752684535986,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
0,10.524559930579677,-0.7027109128529846,0.5592965025959321,0.14935305480476085,-0.02449603227570421,0.016229654742590676,-1.7331676067924329,-6.302632025154432,7.699999999999999,0.5592575917014144,-0.02641705813882096,-1.1861025336692902e-40,0.019765905610625235,6.215777484643242,-9.056125281992207,0.5599870045043114,-0.7384718849526108,0.41845077187455343,0.021524689560568924,6.3,7.699999999999999,0.5592569514441306,0.0,0.0,0.019456579726822295,-6.297805856636704,-9.100366264431582,0.559258486434284,-0.015044846921970096,-0.0006988763994922411,0.019597505297692323,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
1,10.618599457035145,-0.7160404266659195,0.5597075433070811,0.05637062963462767,0.0007077852817437681,-0.00020629007697968226,-1.623813591577982,-6.335843192692244,7.699999999999999,0.55963279105803,-0.09678500274368737,-7.291602919971642e-40,0.0011470331706668131,5.873458628830608,-8.47541162083187,0.5599011264201819,-0.11040321763688779,1.6378686961849265,-0.01074832310778374,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.1935566566281067e-15,-6.2781717112917175,-9.098743020477917,0.5596327910580301,0.03564396306789012,0.002788405320865173,-0.000423743011142267,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
2,10.578246214122892,-0.7189049336035505,0.5596327910580294,-0.030257295762401874,-0.005198523206770845,0.00036459548775612694,-1.4606628990564787,-6.412607333722989,7.699999999999999,0.55963279105803,-0.17641719647503004,1.9530794364381385e-37,0.0020908345366328035,6.485166514194642,-7.657193223673475,0.5599978706661777,2.199084242416479,0.6322549571033529,0.005526929106600794,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.1935566566281067e-15,-6.26282362025781,-9.097516050929176,0.55963279105803,0.027279746799068735,0.0019725594673385694,-0.0003243040369564391,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
3,10.736078372911305,-0.7153936831102119,0.5596327910580298,0.26774327636907924,-0.012450423879093444,-0.003189988792999961,-1.6110740877933698,-6.527731088615966,7.699999999999999,0.55963279105803,-0.2291850581697909,9.686151566192907e-38,0.0027162645497200654,7.576819756471209,-8.312893696429983,0.5599119447876242,0.6697216226105468,-2.6920904720394927,0.06477469406392736,6.3,7.699999999999999,0.5596319354627793,0.0,0.0,-2.1935566566281067e-15,-6.269700654219452,-9.097790609551485,0.55963279105803,-0.06642689773030479,-0.0031426802804488257,0.0007900368316915541,11.899999999999999,-0.7,0.0,0,0,0,0,0,0
